llc_name,company,confidence,state,location,project,lat,lng,status,facility_type,incentives_known,incentive_amount,nda_involved,source_type,notes
Design LLC,Google,confirmed,DE/NV,"Henderson, Nevada, USA",Henderson Data Center,36.0397,-114.9817,operating,hyperscale data center,TRUE,50000000,FALSE,news,"Wholly owned Google subsidiary; owns/builds facility while Google operates it"
Design LLC,Google,confirmed,DE/NV,"Sparks, Nevada, USA",Tahoe Reno Industrial Center Data Center,39.5349,-119.7527,operating,hyperscale data center,TRUE,50000000,FALSE,news,Storey County facility under same Design LLC entity
Design LLC,Google,confirmed,DE/NV,"The Dalles, Oregon, USA",The Dalles Data Center Expansion,45.5946,-121.1787,under_construction,hyperscale data center,TRUE,0,FALSE,news,Expansion of existing Google The Dalles campus
Groot LLC,Google,confirmed,DE,"West Memphis, Arkansas, USA",West Memphis Data Center Campus (Project Pyramid),35.1465,-90.1845,approved,hyperscale data center,TRUE,50000000000,TRUE,news,"$10B PILOT deal; up to $50B in personal property tax abatements"
Spark Innovations LLC,Google,probable,DE,"West Memphis, Arkansas, USA",West Memphis Data Center Proposal (Spark),35.1465,-90.1845,cancelled,hyperscale data center,FALSE,0,TRUE,news,Separate proposed campus; cancelled after community opposition
Spark Innovations LLC,Google,probable,DE,"St. Charles, Missouri, USA",St. Charles Data Center Proposal,38.7881,-90.4974,proposed,hyperscale data center,FALSE,0,TRUE,news,$600M data center proposal under Project Shale umbrella
Montauk Innovations LLC,Google,confirmed,DE/OH,"New Albany, Ohio, USA",New Albany Data Center Campus,40.0809,-82.7913,operating,hyperscale data center,TRUE,63000000,FALSE,sec_filing,"CRA tax incentives; 85 acres acquired for $63M"
Montauk Innovations LLC,Google,confirmed,DE/OH,"New Albany, Ohio, USA",New Albany Expansion Phases,40.0809,-82.7913,under_construction,hyperscale data center,TRUE,63000000,FALSE,sec_filing,Expansion phases of existing New Albany campus
Sharka LLC,Google,confirmed,TX,"Midlothian, Texas, USA",Midlothian Data Center Campus,32.4738,-97.0003,operating,hyperscale data center,TRUE,10000000,FALSE,news,$10M+ over 10-year tax abatement; Ellis County
Agate LLC,Google,confirmed,DE,"Lincoln, Nebraska, USA",Lincoln Data Center Campus,40.8136,-96.7026,under_construction,hyperscale data center,TRUE,0,FALSE,news,$600M campus; 570+ acres of farmland acquired
Pearl Computing Malaysia Sdn Bhd,Google,probable,MY,"Various (Elmina, Port Dickson, Eco Business Park V)",Malaysia Cloud Region and Data Center Sites,3.1390,101.6869,under_construction,hyperscale data center,FALSE,0,FALSE,news,Malaysian entity used for regional expansion
Questa LLC,Google,confirmed,DE,"Council Bluffs, Iowa, USA",Council Bluffs Data Center,41.2619,-95.8608,operating,hyperscale data center,TRUE,1,FALSE,news,"City sold 850 acres for $1; development deal with Gable Corp"
Gable Corp,Google,confirmed,DE,"Council Bluffs, Iowa, USA",Council Bluffs Development Deal,41.2619,-95.8608,operating,hyperscale data center,TRUE,1,FALSE,news,Partner entity to Questa LLC for Council Bluffs acquisition
Heaviside LLC,Google,confirmed,DE,"Cedar Rapids, Iowa, USA",Big Cedar Data Center,42.0083,-91.6441,operating,hyperscale data center,TRUE,56000000,FALSE,news,"$56M in tax breaks; 20-year 70% exemption"
Magellan Enterprises LLC,Google,confirmed,OH,"Columbus, Ohio, USA",Columbus Hartman Farm Data Center,40.0150,-82.9988,operating,hyperscale data center,TRUE,54300000,FALSE,news,"$54.3M property tax abatement (100% 15-year CRA); $2.7M per job created"
Tilted Gate LLC,Google,confirmed,DE/OH,"Franklin Furnace, Ohio, USA",Scioto County Data Center,38.6434,-82.8432,proposed,hyperscale data center,TRUE,0,FALSE,news,75% property tax abatement; 15-year PILOT
Bistrozzi LLC,Google,confirmed,OH,"Lima, Ohio, USA",Lima Area Data Center,40.7423,-84.1052,proposed,hyperscale data center,TRUE,0,FALSE,news,Identity confirmed after public hearings
Fireball Group LLC,Google,confirmed,DE,"Papillion, Nebraska, USA",Project Wizard Data Center,41.1544,-96.0422,proposed,hyperscale data center,TRUE,0,TRUE,news,$600M investment; Nebraska tax incentives
Hatchworks LLC,Google,confirmed,DE/IN,"Fort Wayne, Indiana, USA",Project Zodiac Data Center,41.1306,-85.1289,proposed,hyperscale data center,TRUE,0,TRUE,news,"50% tax abatement for 10 years; state sales tax exemption"
Harmony Group LLC,Google,confirmed,DE,"Hermantown, Minnesota, USA",Project Loon Data Center,46.8258,-92.2321,proposed,hyperscale data center,TRUE,0,TRUE,news,"MN data center tax law applied; Google required 22 separate NDAs"
Shalerock LLC,Google,confirmed,DE,"Kansas City, Missouri, USA",Project Shale Data Center,39.0997,-94.5786,proposed,hyperscale data center,FALSE,0,TRUE,news,$600M data center proposal
Alamo Mission LLC,Google,confirmed,DE/TX,"Midlothian, Texas, USA",Midlothian Land Acquisition,32.4738,-97.0003,operating,land acquisition entity,FALSE,0,FALSE,news,Land acquisition entity for 375-acre site
Jet Stream LLC,Google,confirmed,DE,"Midlothian, Texas, USA",Midlothian Land Purchase,32.4738,-97.0003,operating,land acquisition entity,FALSE,0,FALSE,news,Land purchase negotiation entity
Jasmine Development LLC,Google,confirmed,DE,"Henderson, Nevada, USA",Henderson Land Acquisition,36.0397,-114.9817,operating,land acquisition entity,FALSE,19000000,TRUE,news,"Acquired 64 acres for $19M; NDA signed with city"
Mallard LLC,Google,probable,DE,"Ridgeville, South Carolina, USA",Project Dawson Data Center,33.0996,-80.5662,proposed,hyperscale data center,FALSE,0,TRUE,news,Special 6¢/kWh electricity rate negotiated
Autumn Timber LLC,Google,probable,DE,"Ridgeville, South Carolina, USA",Project Dawson Land Acquisition,33.0996,-80.5662,proposed,land acquisition entity,TRUE,5840000,TRUE,news,"Tax breaks; 268 acres acquired for $5.84M from county"
White Rose Partners,Google,confirmed,OK,"Sand Springs, Oklahoma, USA",Project Spring Data Center,36.1395,-96.1081,proposed,hyperscale data center,FALSE,0,TRUE,news,"Incentives under negotiation; 827 acres secured"
Siculus Inc.,Meta,confirmed,DE,"Altoona, Iowa, USA",Project Catalyst Data Center,41.6491,-93.4696,operating,hyperscale data center,TRUE,18000000,FALSE,sec_filing,"$18M in state tax credits; TIF; discounted water"
Greater Kudu LLC,Meta,confirmed,DE,"Los Lunas, New Mexico, USA",Project Discus Data Center,34.8070,-106.7330,operating,hyperscale data center,TRUE,30000000000,FALSE,sec_filing,"Up to $30B in IRBs; 30-year property tax exemption"
Scout Development LLC,Meta,confirmed,DE,"Henrico County, Virginia, USA",Project Echo Data Center,37.5538,-77.4603,operating,hyperscale data center,TRUE,0,FALSE,sec_filing,County cut data center tax rate by 88%
Sidecat LLC,Meta,confirmed,DE,"New Albany, Ohio, USA",Project Prometheus Data Center,40.0809,-82.7913,operating,hyperscale data center,TRUE,37000000,FALSE,sec_filing,"$37M+ in state tax incentives; 15-year property tax exemption"
Morning Hornet LLC,Meta,confirmed,DE,"Newton County, Georgia, USA",Newton County Data Center,33.5518,-83.8135,operating,hyperscale data center,TRUE,42000000000,FALSE,sec_filing,"$42B in phantom bonds from JDA; PILOT payments"
Raven Northbrook LLC,Meta,confirmed,DE,"Papillion, Nebraska, USA",Papillion Data Center,41.1544,-96.0422,operating,hyperscale data center,FALSE,0,FALSE,sec_filing,Mixed-use development agreement
Starbelt LLC,Meta,confirmed,DE,"Huntsville, Alabama, USA",Huntsville Data Center,34.7304,-86.5861,operating,hyperscale data center,TRUE,0,FALSE,sec_filing,"340 acres for $8.5M; $750M investment"
Woolhawk LLC,Meta,confirmed,DE,"Gallatin, Tennessee, USA",Project Woolhawk Data Center,36.3884,-86.4467,operating,hyperscale data center,TRUE,0,TRUE,sec_filing,"809 acres for ~$20M; $1.5B investment"
Redale LLC,Meta,confirmed,DE,"Mesa, Arizona, USA",Mesa Data Center,33.4152,-111.8315,operating,hyperscale data center,FALSE,123200000,FALSE,sec_filing,"396 acres for $123.2M; no typical tax sweeteners"
Vitesse LLC,Meta,confirmed,DE,"Prineville, Oregon, USA",Prineville Data Center,44.2998,-120.8340,operating,hyperscale data center,TRUE,0,FALSE,sec_filing,Oregon enterprise zone tax exemptions
Winner LLC,Meta,confirmed,DE,"Fort Worth, Texas, USA",Fort Worth Data Center,32.7555,-97.3308,operating,hyperscale data center,TRUE,147000000,FALSE,sec_filing,"Up to $147M in incentives; 10-year county abatement"
Velvet Tech Services LLC,Meta,confirmed,DE,"Kansas City, Missouri, USA",Project Velvet Data Center,39.0997,-94.5786,operating,hyperscale data center,TRUE,8200000000,FALSE,sec_filing,"Up to $8.2B in city tax incentives"
Goldframe LLC,Meta,confirmed,DE,"DeKalb, Illinois, USA",DeKalb Data Center,41.9294,-88.7501,operating,hyperscale data center,TRUE,80000000,FALSE,sec_filing,"$80M in tax exemptions; largest in IL history"
Jimnist LLC,Meta,confirmed,DE,"Rosemount, Minnesota, USA",Project Bigfoot Data Center,44.7419,-93.1163,proposed,hyperscale data center,TRUE,0,TRUE,sec_filing,"280 acres for ~$40M; $800M+ investment"
Goat Systems LLC,Meta,confirmed,DE,"Cheyenne, Wyoming, USA",Project Cosmo Data Center,41.1400,-104.8202,proposed,hyperscale data center,FALSE,0,FALSE,sec_filing,945-acre site; incentive details undisclosed
Wurldwide LLC,Meta,confirmed,DE,"El Paso, Texas, USA",El Paso Data Center,31.7619,-106.4850,proposed,hyperscale data center,TRUE,8570000,FALSE,sec_filing,"1083 acres for $8.57M from city/county"
Laidley LLC,Meta,probable,DE,"Richland Parish, Louisiana, USA",Project Sucre Data Center,32.2907,-91.7457,proposed,hyperscale data center,TRUE,0,FALSE,news,"Special sales tax exemption legislation; $10B+"
Balloonist LLC,Meta,confirmed,DE,"Beaver Dam & Menomonie, Wisconsin, USA",Wisconsin Data Center,43.4675,-88.8376,proposed,hyperscale data center,TRUE,0,FALSE,news,"$1B+; pre-development agreements behind closed doors"
Degas LLC,Meta,confirmed,DE,"Beaver Dam, Wisconsin, USA",Beaver Dam Data Center,43.4675,-88.8376,proposed,hyperscale data center,FALSE,0,FALSE,news,"Council voted 12-0 without mentioning 'data center'"
Vadata Inc.,Amazon,confirmed,WA,"Northern Virginia / Oregon / Ohio (multiple)",Multiple AWS Data Centers,38.9072,-77.0369,operating,hyperscale data center,TRUE,81000000,FALSE,sec_filing,"OR: $1B+ enterprise zone exemptions; VA: $2.7M tax breaks; OH: $81M sales tax exemption"
Amazon Data Services Inc.,Amazon,confirmed,WA,"Virginia / Georgia / Ohio / Indiana / Pennsylvania (multiple)",Multiple AWS Data Centers,38.9072,-77.0369,operating,hyperscale data center,TRUE,180000000,FALSE,sec_filing,"Sidney OH: 30-year 100% abatement ($180-350M); Hobart IN: 10-year property tax abatement"
Razor5,Amazon,confirmed,IN/DE,"New Carlisle, Indiana, USA",Project Rainier Data Center,41.5378,-86.5086,approved,hyperscale data center,TRUE,8280000000,TRUE,news,"$8.28B total incentives; 50% property abatement; 85% personal property abatement for 35 years"
Hobart Owner LLC,Amazon,confirmed,IN,"Hobart, Indiana, USA",Hobart Data Center Campus,41.5325,-87.2550,approved,hyperscale data center,TRUE,102000000,FALSE,news,"10-year 100% property tax abatement; 35-year 100% IT equipment exemption; $102M community payments"
Hobart Devco LLC,Amazon,confirmed,IN,"Hobart, Indiana, USA",Hobart Campus Development,41.5325,-87.2550,approved,hyperscale data center,FALSE,0,FALSE,news,Campus development entity for $15B project
Elk River Technologies,Amazon,confirmed intermediary,MN,"Becker, Minnesota, USA",Becker Land Acquisition,45.3969,-93.8727,operating,land acquisition intermediary,FALSE,0,FALSE,news,"Bought 348 acres for $7.7M; flipped to Amazon for $73.5M (nearly 10x markup)"
Franklin Lowell LLC,Microsoft,confirmed intermediary,IL/MI,"Lowell Township, Michigan, USA",Lowell Township Data Center,42.9367,-85.3441,proposed,hyperscale data center,FALSE,0,TRUE,news,"Rezoning filed under NDA; $500M-$1B investment; Microsoft identity concealed"
Franklin Partners,Microsoft,confirmed intermediary,IL/MI,"Multiple Michigan townships, USA",Michigan Data Center Portfolio,42.9367,-85.3441,proposed,hyperscale data center,FALSE,0,TRUE,news,NDAs signed with 4 communities on Microsoft behalf
EdgeConneX,Microsoft,confirmed for Microsoft,GA,"Union City, Georgia, USA",Project Steamboat Data Center,33.5871,-84.5416,approved,hyperscale data center,TRUE,75000000,TRUE,news,"$75M tax break from Fulton County; $420M bonds"
Microsoft (direct),Microsoft,confirmed,OH,"New Albany, Ohio, USA",New Albany AI Data Center,40.0809,-82.7913,operating,hyperscale data center,TRUE,72500000,FALSE,news,"15-year 100% property tax abatement; $72.5M sales tax exemption"
Microsoft (direct),Microsoft,confirmed,WI,"Mount Pleasant, Wisconsin, USA",Mount Pleasant AI Data Center,42.7261,-87.8897,approved,hyperscale data center,TRUE,0,FALSE,news,"$3.3B AI data center; state sales/use tax exemption; TID from Foxconn era"
Microsoft (direct),Microsoft,confirmed,WY,"Cheyenne, Wyoming, USA",Cheyenne Data Center,41.1400,-104.8202,operating,hyperscale data center,TRUE,0,FALSE,news,Wyoming data center sales tax exemption on equipment
Microsoft (direct),Microsoft,confirmed,IN,"Granger, Indiana, USA",Granger Data Center,41.7370,-86.1386,proposed,hyperscale data center,FALSE,0,FALSE,news,Pledged NOT to seek property tax abatement (Feb 2026)
Microsoft (direct),Microsoft,confirmed,IL,"Hoffman Estates, Illinois, USA",Hoffman Estates Data Center,42.0631,-88.0800,operating,hyperscale data center,TRUE,38000000,FALSE,news,"$38M sales tax exemption for 20 jobs"
